Region,RegionAbbr,CUID,CULabel (PSE Display Name),CUName,CUIndex,RegionID,SppName,SppAbrr
Skeena,SKNA,171,Alastair,Alastair,L_20_01,1,Lake Sockeye,SEL
Skeena,SKNA,172,Mcdonell/Dennis/Aldrich,Aldrich,L_20_02,1,Lake Sockeye,SEL
Skeena,SKNA,190,Asitika,Asitika,L_22_01,1,Lake Sockeye,SEL
Skeena,SKNA,179,Morice/Atna,Atna,L_21_01,1,Lake Sockeye,SEL
Skeena,SKNA,191,Azuklotz,Azuklotz,L_22_02,1,Lake Sockeye,SEL
Skeena,SKNA,180,Babine/Onerka,Babine,L_21_02,1,Lake Sockeye,SEL
Skeena,SKNA,204,Babine (enhanced),Babine-Pinkut,,1,Lake Sockeye,SEL
Skeena,SKNA,203,Babine (enhanced),Babine (enhanced),,1,Lake Sockeye,SEL
Skeena,SKNA,192,Bear,Bear,L_22_03,1,Lake Sockeye,SEL
Skeena,SKNA,181,Bulkley/Maxan,Bulkley,L_21_03,1,Lake Sockeye,SEL
Skeena,SKNA,182,Swan/Club,Club Lake,L_21_04,1,Lake Sockeye,SEL
Skeena,SKNA,193,Damshilgwit,Damshilgwit,L_22_04,1,Lake Sockeye,SEL
Skeena,SKNA,173,Mcdonell/Dennis/Aldrich,Dennis,L_20_03,1,Lake Sockeye,SEL
Skeena,SKNA,174,Ecstall/Lower,Ecstall/Lower,L_20_04,1,Lake Sockeye,SEL
Skeena,SKNA,230,Footsore/Hodder,Footsore/Hodder,,1,Lake Sockeye,SEL
Skeena,SKNA,183,Gitanyow (Kitwanga/Kitwancool),Gitanyow,L_21_05,1,Lake Sockeye,SEL
Skeena,SKNA,194,Johanson,Johanson,L_22_05,1,Lake Sockeye,SEL
Skeena,SKNA,175,Johnston,Johnston,L_20_05,1,Lake Sockeye,SEL
Skeena,SKNA,176,Kitsumkalum,Kitsumkalum,L_20_06,1,Lake Sockeye,SEL
Skeena,SKNA,195,Kluatantan,Kluatantan,L_22_06,1,Lake Sockeye,SEL
Skeena,SKNA,196,Kluayaz,Kluayaz,L_22_07,1,Lake Sockeye,SEL
Skeena,SKNA,177,Lakelse,Lakelse,L_20_07,1,Lake Sockeye,SEL
Skeena,SKNA,184,Bulkley/Maxan,Maxan,L_21_06,1,Lake Sockeye,SEL
Skeena,SKNA,178,Mcdonell/Dennis/Aldrich,Mcdonell,L_20_08,1,Lake Sockeye,SEL
Skeena,SKNA,185,Morice/Atna,Morice,L_21_07,1,Lake Sockeye,SEL
Skeena,SKNA,197,Motase,Motase,L_22_08,1,Lake Sockeye,SEL
Skeena,SKNA,186,Nilkitkwa,Nilkitkwa,L_21_08,1,Lake Sockeye,SEL
