cuid,cuname,cu_acronym,duid,du_number,DU_name,du_acronym,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,last_assessed,ca_check_012022,Area,Species,OU No.,Outlook Unit Name,Conservation Unit,SMU
302,Boundary Bay_FA_0.3,BB,302,CK1,"Southern Mainland Boundary Bay, Ocean, Fall population",BB+GStr/Ocean/Fall,CK-002,CK-2,Chinook,5,Threatened,2020,y,SOUTH COAST,Chinook,42,Georgia Strait Fall (wild and small hatchery operations),CK::Boundary Bay,GEORGIA STRAIT CHINOOK SALMON
311,Middle Fraser River_SU_1.3,MFR-summer,311,CK10,"Middle Fraser, Stream, Summer population",MFR+GStr/Stream/Summer,CK-011,CK-11,Chinook,5,Threatened,2018,y,FRASER,Chinook,98,Fraser River Summer Run 52,CK::Middle Fraser River-summer timing,FRASER SUMMER RUN 52 CHINOOK SALMON
312,Upper Fraser River_SP_1.3,UFR-spring,312,CK11,"Upper Fraser, Stream, Spring population",UFR/Stream/Spring,CK-012,CK-12,Chinook,5,Endangered,2018,y,FRASER,Chinook,97,Fraser River Spring Run 52,CK::Upper Fraser River-spring timing,FRASER SPRING RUN 52 CHINOOK SALMON
313,South Thompson_SU_0.3,STh-0.3,335,CK12,"South Thompson, Ocean, Summer population",STh+GStr/Ocean/Summer,CK-013,CK-13,Chinook,4,Not at risk,2018,y,FRASER,Chinook,99,Fraser River Summer Run 41,CK::South Thompson-summer timing-age 0.3,FRASER SUMMER RUN 41 CHINOOK SALMON
315,Shuswap River_SU_0.3,STh-SHUR,335,CK12,"South Thompson, Ocean, Summer population",STh+GStr/Ocean/Summer,CK-015,CK-15,Chinook,4,Not at risk,2018,y,FRASER,Chinook,99,Fraser River Summer Run 41,CK::Shuswap River-summer timing-age 0.3,FRASER SUMMER RUN 41 CHINOOK SALMON
314,South Thompson_SU_1.3,STh-1.3,314,CK13,"South Thompson, Stream, Summer 1.3 population",STh+GStr/Stream/Summer,CK-014,CK-14,Chinook,5,Endangered,2020,y,FRASER,Chinook,98,Fraser River Summer Run 52,CK::South Thompson-summer timing-age 1.3,FRASER SUMMER RUN 52 CHINOOK SALMON
316,South Thompson-Bessette Creek_SU_1.2,STh-BESS,316,CK14,"South Thompson, Stream, Summer 1.2 (Bessette) population",STh+GStr/Stream/Summer/(Bessette),CK-016,CK-16,Chinook,4,Endangered,2018,y,FRASER,Chinook,96,Fraser River Spring Run 42,CK::South Thompson-Bessette Creek,FRASER SPRING RUN 42 CHINOOK SALMON
317,Lower Thompson_SP_1.2,LTh,317,CK15,"Lower Thompson, Stream, Spring population",LTh+GStr/Stream/Spring,CK-017,CK-17,Chinook,4,Endangered,2020,y,FRASER,Chinook,96,Fraser River Spring Run 42,CK::Lower Thompson-spring timing-age 1.2,FRASER SPRING RUN 42 CHINOOK SALMON
318,North Thompson_SP_1.3,NTh-spr,318,CK16,"North Thompson, Stream, Spring population",NTh+GStr/Stream/Spring,CK-018,CK-18,Chinook,5,Endangered,2018,y,FRASER,Chinook,97,Fraser River Spring Run 52,CK::North Thompson-spring timing-age 1.3,FRASER SPRING RUN 52 CHINOOK SALMON
319,North Thompson_SU_1.3,NTh-sum,319,CK17,"North Thompson, Stream, Summer population",NTh+Gstr/Stream/Summer,CK-019,CK-19,Chinook,5,Endangered,2018,y,FRASER,Chinook,98,Fraser River Summer Run 52,CK::North Thompson-summer timing-age 1.3,FRASER SUMMER RUN 52 CHINOOK SALMON
