cuid,use,cuname,gen_length,sr_code,trtc_cu,ncc_cu,cuindex,culabel,CU,spp,species,watershed,
1220,,Porcupine River,4,,1120,1120,CO-46,Porcupine,,Coho,Coho,Yukon,
1201,TRUE,Big Salmon,6,1,1201,1201,CK-70,Big Salmon,,Chinook,Chinook,Yukon,
1202,,Nordenskiold,6,,1202,1202,CK-71,Nordenskiold,,Chinook,Chinook,Yukon,
1203,TRUE,Pelly,6,3,1203,1203,CK-72,Pelly,,Chinook,Chinook,Yukon,
1204,TRUE,Middle Yukon River and tributaries,6,2,1204,1204,CK-73,Middle Yukon,,Chinook,Chinook,Yukon,
1205,TRUE,Stewart,6,4,1205,1205,CK-74,Stewart,,Chinook,Chinook,Yukon,
1206,TRUE,White and tributaries,6,5,1206,1206,CK-75,White ,,Chinook,Chinook,Yukon,
1207,TRUE,Northern Yukon River and tributaries,6,6,1207,1207,CK-76,Northern Yukon ,,Chinook,Chinook,Yukon,
1208,,Salmon Fork,6,,1208,1208,CK-77,Salmon Fork,,Chinook,Chinook,Yukon,
1209,,Porcupine,6,,1209,1209,CK-78,Porcupine ,,Chinook,Chinook,Yukon,
1210,,Old Crow,6,,1210,1210,CK-79,Old Crow,,Chinook,Chinook,Yukon,
1211,TRUE,Upper Yukon River,6,7,1211,1211,CK-69,Upper Yukon,,Chinook,Chinook,Yukon,
1212,TRUE,Yukon River-Teslin headwaters,6,8,1212,1212,CK-68,Teslin ,,Chinook,Chinook,Yukon,
1213,,Middle Yukon,4,,1213,1213,CM-42,Middle Yukon,,Chum,Chum,Yukon,
1214,,N Yukon River,4,,1214,1214,CM-43,North Yukon ,,Chum,Chum,Yukon,
1215,,White,4,,1215,1215,CM-44,White ,,Chum,Chum,Yukon,
1216,,Donjek Kluane,4,,1216,1216,CM-45,Donjek Kluane,,Chum,Chum,Yukon,
1217,,Porcupine River,4,,1217,1217,CM-46,Porcupine,,Chum,Chum,Yukon,
1218,,Stewart,4,,1218,1218,CM-48,Stewart,,Chum,Chum,Yukon,
1219,,Teslin,4,,1219,1219,CM-38,Teslin ,,Chum,Chum,Yukon,
cuid,use,cuname,gen_length,sr_code,trtc_cu,ncc_cu,cuindex,culabel,CU,spp,species,watershed,X
1004,FALSE,ALSEK,5,NA,CK-67,CK-067,CK-67,Alsek,Alsek,Chinook,Chinook,Alsek,
1005,FALSE,LYNN CANAL,6,NA,CK-66,CK-066,CK-66,Lynn Canal,Lynn Canal,Chinook,Chinook,Chilkat,
1006,FALSE,TAKU-EARLY TIMING,6,NA,CK-63,CK-063,CK-63,Taku-Early Timing,Taku-Early Timing,Chinook,Chinook,Taku,
1007,FALSE,TAKU-MID TIMING,6,NA,CK-64,CK-064,CK-64,Taku-Mid Timing,Taku-Mid Timing,Chinook,Chinook,Taku,
1008,FALSE,TAKU-LATE TIMING,6,NA,CK-65,CK-065,CK-65,Taku-Late Timing,Taku-Late Timing,Chinook,Chinook,Taku,
1009,FALSE,WHITING RIVER,6,NA,CK-62,CK-062,CK-62,Whiting,Whiting River,Chinook,Chinook,Whiting,
1010,FALSE,STIKINE-EARLY TIMING,6,NA,CK-60,CK-060,CK-60,Stikine-Early Timing,Stikine-Early Timing,Chinook,Chinook,Stikine,
1011,FALSE,STIKINE-LATE TIMING,6,NA,CK-61,CK-061,CK-61,Stikine-Late Timing,Stikine-Late Timing,Chinook,Chinook,Stikine,
1012,FALSE,UNUK RIVER,6,NA,CK-59,CK-059,CK-59,Unuk,Unuk River,Chinook,Chinook,Unuk,
1000,FALSE,LYNN CANAL,4,NA,CM-37,CM-037,CM-37,Lynn Canal,Lynn Canal,Chum,Chum,Chilkat,
1001,FALSE,TAKU,4,NA,CM-36,CM-036,CM-36,Taku,Taku,Chum,Chum,Taku,
1002,FALSE,WHITING RIVER,4,NA,CM-35,CM-035,CM-35,Whiting,Whiting River,Chum,Chum,Whiting,
1003,FALSE,UNUK RIVER,4,NA,CM-33,CM-033,CM-33,Unuk ,Unuk River,Chum,Chum,Unuk,
1032,FALSE,LOWER STIKINE,4,NA,CM-34,CM-034,CM-34,Lower Stikine,Lower Stikine,Chum,Chum,Stikine,
1013,FALSE,ALSEK RIVER,5,NA,CO-45,CO-045,CO-45,Alsek ,Alsek River,Coho,Coho,Alsek,
1014,FALSE,LYNN CANAL,5,NA,CO-42,CO-042,CO-44,Lynn Canal,Lynn Canal,Coho,Coho,Chilkat,
1015,FALSE,TAKU-LATE TIMING,5,NA,CO-41,CO-041,CO-41,Taku-Late Timing,Taku-Late Timing,Coho,Coho,Taku,
1016,FALSE,WHITING RIVER,5,NA,CO-40,CO-040,CO-40,Whiting,Whiting River,Coho,Coho,Whiting,
1017,FALSE,LOWER STIKINE,5,NA,CO-39,CO-039,CO-39,Lower Stikine,Lower Stikine,Coho,Coho,Stikine,
1018,FALSE,UNUK RIVER,5,NA,CO-38,CO-038,CO-38,Unuk ,Unuk River,Coho,Coho,Unuk,
1034,FALSE,TAKU-EARLY TIMING,5,NA,CO-NA,CO-NA,CO-43,Taku-Early Timing,Taku-Early Timing,Coho,Coho,Taku,
1035,FALSE,TAKU-MID TIMING,5,NA,CO-NA,CO-NA,CO-42,Taku-Mid Timing,Taku-Mid Timing,Coho,Coho,Taku,
1019,FALSE,TRANSBOUNDARY FJORDS,2,NA,PKE-13,PKE-013,PKE-013,Transboundary Fjords,Transboundary Fjords,Pink,Pink (Even),Multiple,
1020,FALSE,TRANSBOUNDARY FJORDS,2,NA,PKO-19,PKO-019,PKO-019,Transboundary Fjords,Transboundary Fjords,Pink,Pink (Odd),Multiple,
1024,FALSE,BORDER,5,NA,SEL-25-01,SEL-25-001,SEL-25-01,Border,Border,Sockeye-Lake,Lake Sockeye,Unuk,
1025,FALSE,CHRISTINA,5,NA,SEL-26-01,SEL-26-001,SEL-26-01,Christina,Christina,Sockeye-Lake,Lake Sockeye,Stikine,
1026,TRUE,TAHLTAN,5,NA,SEL-26-02,SEL-26-002,SEL-26-02,Tahltan,Tahltan,Sockeye-Lake,Lake Sockeye,Stikine,
1027,TRUE,KUTHAI,5,NA,SEL-28-01,SEL-28-001,SEL-28-01,Kuthai,Kuthai,Sockeye-Lake,Lake Sockeye,Taku,
1028,TRUE,LITTLE TRAPPER,5,NA,SEL-28-02,SEL-28-002,SEL-28-02,Little Trapper,Little Trapper,Sockeye-Lake,Lake Sockeye,Taku,
1029,TRUE,TATSAMENIE,5,NA,SEL-28-03,SEL-28-003,SEL-28-03,Tatsamenie,Tatsamenie,Sockeye-Lake,Lake Sockeye,Taku,
1031,FALSE,BLANCHARD,5,NA,SEL-30-01,SEL-30-001,SEL-30-01,Blanchard,Blanchard,Sockeye-Lake,Lake Sockeye,Alsek,
1033,TRUE,KING SALMON LAKE,4,NA,SEL-28-05,SEL-28-005,SEL-28-05,King Salmon Lake,King Salmon Lake,Sockeye-Lake,Lake Sockeye,Taku,
1036,TRUE,CHUTINE,5,NA,SEL-26-03,SEL-26-003,SEL-26-03,Chutine,Chutine,Sockeye-Lake,Lake Sockeye,Stikine,
1037,FALSE,WHITING,5,NA,SEL-999,SEL-999,SEL-27-01,Whiting,Whiting,Sockeye-Lake,Lake Sockeye,Whiting,
1038,TRUE,KLUKSHU,5,NA,SEL-30-02,SEL-30-002,SEL-30-02,Klukshu,Klukshu,Sockeye-Lake,Lake Sockeye,Alsek,
1039,FALSE,NESKATAHIN,5,NA,SEL-30-03,SEL-30-003,SEL-30-03,Nesketahin,Nesketahin,Sockeye-Lake,Lake Sockeye,Alsek,
1021,FALSE,ALSEK RIVER,5,NA,SER-24,SER-024,SER-24,Alsek ,Alsek River,Sockeye-River,River Sockeye,Alsek,
1022,FALSE,CHILKAT RIVER,5,NA,SER-23,SER-023,SER-23,Chilkat,Chilkat River,Sockeye-River,River Sockeye,Chilkat,
